time,angle,time,speed,time,accelerator position,time,brake position
120.88134016,-4.5,121.77270016,47.3,133.416120064,15,133.4161200640,0
120.891330048,-4.5,121.792710144,47.3,133.51638016,15,133.5163801600,0
120.90134016,-4.5,121.812950016,47.1625,133.616130048,14,133.6161300480,0
120.911330048,-4.5,121.83270016,47.025,133.716489984,12,133.7164899840,0
120.921330176,-4.5,121.853080064,47.1625,133.816120064,10,133.8161200640,0
120.931340032,-4.5,121.87270016,47.23125,133.916620032,0,133.9166200320,0
120.94134016,-4.5,121.893080064,47.23125,134.016250112,0,134.0162501120,0
120.951330048,-4.5,121.91270016,47.3,134.116250112,0,134.1162501120,0
120.961330176,-4.5,121.93270016,47.3,134.216120064,0,134.2161200640,0
120.971330048,-4.5,121.95270016,47.3,134.315990016,0,134.3159900160,0
120.981330176,-4.5,121.972950016,47.23125,134.616620032,0,134.6166200320,0
120.991340032,-4.5,121.99270016,47.23125,134.716120064,0,134.7161200640,0
121.00134016,-4.5,122.01270016,47.3,134.816120064,0,134.8161200640,0
121.011330048,-4.5,122.03270016,47.4375,134.916240128,0,134.9162401280,0
121.021330176,-4.5,122.05270016,47.50625,135.016370176,0,135.0163701760,0
121.031340032,-4.5,122.072580096,47.4375,135.116230144,0,135.1162301440,0
121.04134016,-4.5,122.092940032,47.50625,135.315980032,0,135.3159800320,0
121.051340032,-4.5,122.11270016,47.4375,135.41611008,0,135.4161100800,0
121.061330176,-4.5,122.13307008,47.36875,135.516260096,0,135.5162600960,0
121.071340032,-4.5,122.152570112,47.4375,135.61611008,0,135.6161100800,1
121.08134016,-4.5,122.17307008,47.3,135.716489984,0,135.7164899840,1
121.091330048,-4.6,122.192570112,47.4375,135.816360192,0,135.8163601920,1
121.10134016,-4.6,122.212690176,47.4375,135.91648,0,135.9164800000,1
121.111330048,-4.6,122.232570112,47.36875,136.016730112,0,136.0167301120,1
121.121330176,-4.7,122.25270016,47.36875,136.116610048,0,136.1166100480,1
121.131330048,-4.7,122.272570112,47.4375,136.216489984,0,136.2164899840,1
121.141330176,-4.7,122.292570112,47.575,136.316610048,0,136.3166100480,1
121.151350016,-4.7,122.312690176,47.575,136.416600064,0,136.4166000640,0
121.161330176,-4.7,122.33270016,47.4375,136.51648,0,136.5164800000,0
121.171330048,-4.7,122.352580096,47.36875,136.616100096,0,136.6161000960,0
121.181350144,-4.7,122.372950016,47.50625,136.716230144,0,136.7162301440,0
121.191330048,-4.8,122.392690176,47.4375,136.818100224,0,136.8181002240,0
121.20134016,-4.8,122.41307008,47.4375,136.91622016,0,136.9162201600,0
121.211340032,-4.9,122.432580096,47.64375,137.016230144,0,137.0162301440,0
121.221330176,-4.9,122.45307008,47.64375,137.116730112,0,137.1167301120,0
121.231340032,-5,122.472570112,47.64375,137.216360192,0,137.2163601920,0
121.241330176,-5,122.49270016,47.36875,137.317730048,0,137.3177300480,0
121.251340032,-5.1,122.512570112,47.23125,137.416470016,0,137.4164700160,0
121.261330176,-5.1,122.53270016,47.4375,137.517740032,0,137.5177400320,0
121.271330048,-5.1,122.552570112,47.50625,137.716230144,0,137.7162301440,0
121.28134016,-5.2,122.572570112,47.575,137.916340224,11,137.9163402240,0
121.291340032,-5.2,122.592690176,47.575,138.016470016,11,138.0164700160,0
121.301330176,-5.3,122.612570112,47.575,138.116340224,12,138.1163402240,0
121.311330048,-5.3,122.632570112,47.64375,138.216470016,15,138.2164700160,0
121.321330176,-5.4,122.652940032,47.50625,138.317720064,18,138.3177200640,0
121.331340032,-5.4,122.67270016,47.575,138.417850112,20,138.4178501120,0
